id,title_english,title_original,director,country,winner,festival,year_festival,link_film,link_director,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,InternetMovieDatabaseRating,RottenTomatoesRating,MetacriticRating,Error,totalSeasons,Ratings
10,Joshua Then and Now,N/A,Ted Kotcheff,Canada,0,cannes,1985,https://en.wikipedia.org/wiki/Joshua_Then_and_Now_(film),https://en.wikipedia.org/wiki/Ted_Kotcheff,Joshua Then and Now,1985,R,20 Sep 1985,119 min,"Comedy, Drama",Ted Kotcheff,"Mordecai Richler (novel), Mordecai Richler (screenplay)","James Woods, Gabrielle Lazure, Alan Arkin, Michael Sarrazin","The story of a Jewish writer, from his life as a young boy in Montreal to his more complicated grown-up life.",English,Canada,5 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BMTU5Mzg3Nzc3NV5BMl5BanBnXkFtZTcwODU5OTY1NQ@@._V1_SX300.jpg,N/A,6.7,478,tt0089383,movie,N/A,N/A,20th Century Fox Film Corporation,N/A,True,6.7/10,N/A,N/A,,,
11,Kiss of the Spider Woman,O Beijo da Mulher Aranha,Héctor Babenco,Brazil,0,cannes,1985,https://en.wikipedia.org/wiki/Kiss_of_the_Spider_Woman_(film),https://en.wikipedia.org/wiki/H%C3%A9ctor_Babenco,Kiss of the Spider Woman,1985,R,26 Jul 1985,120 min,Drama,Hector Babenco,"Manuel Puig (based on the novel by), Leonard Schrader","William Hurt, Raul Julia, Sônia Braga, José Lewgoy","Luis Molina and Valentin Arregui are cell mates in a South American prison. Luis, a trans individual, is found guilty of immoral behavior and Valentin is a political prisoner. To escape reality Luis invents romantic movies, while Valentin tries to keep his mind on the situation he's in. During the time they spend together, the two men come to understand and respect one another.","English, French, Portuguese, German",Brazil,Won 1 Oscar. Another 12 wins & 10 nominations.,https://m.media-amazon.com/images/M/MV5BMTUzOTg0MDEwOV5BMl5BanBnXkFtZTcwNTg1OTM2MQ@@._V1_SX300.jpg,80,7.4,"13,228",tt0089424,movie,21 Oct 2008,N/A,Strand Releasing,N/A,True,7.4/10,85%,80/100,,,
12,The Official Story,La historia oficial,Luis Puenzo,Argentina,0,cannes,1985,https://en.wikipedia.org/wiki/The_Official_Story,https://en.wikipedia.org/wiki/Luis_Puenzo,The Official Story,1985,Not Rated,08 Nov 1985,112 min,"Drama, History, War",Luis Puenzo,"Aída Bortnik, Luis Puenzo","Héctor Alterio, Norma Aleandro, Chunchuna Villafañe, Hugo Arana","Alicia Marnet de Ibáñez is a high school history professor and a well-to-do housewife in Buenos Aires, circa 1983, after the fall of the ""junta militar"" that had taken over the government since 1976. She has a husband, Roberto, who is a succesful lawyer and a five-year-old adopted daughter.","Spanish, English",Argentina,Won 1 Oscar. Another 24 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BYTg0OGIyMjEtODBlNy00Njk4LWE0NDAtMWI0MTgzMjc4NWRmXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,N/A,7.7,"7,274",tt0089276,movie,05 Jul 2000,N/A,Koch Lorber Films,N/A,True,7.7/10,100%,N/A,,,
13,Madman at War,Scemo di guerra,Dino Risi,Italy,0,cannes,1985,https://en.wikipedia.org/wiki/Madman_at_War,https://en.wikipedia.org/wiki/Dino_Risi,Madman at War,1985,N/A,22 May 1985,108 min,Comedy,Dino Risi,"Claude Berri (French adaptation), Anne Dutter (French adaptation), Georges Dutter (French adaptation), Agenore Incrocci, Simon Mizrahi (French adaptation), Furio Scarpelli, Mario Tobino (novel)","Coluche, Beppe Grillo, Bernard Blier, Fabio Testi","The medical sub-lieutenant Marcello Lupi, endowed with a great humanity and common sense, at the end of 1940 was assigned to a health section installed near the oasis of Sorman, Libya and commanded by Major Bellucci.",Italian,"Italy, France",1 nomination.,https://ia.media-imdb.com/images/M/MV5BNmI1ZGE4ZWUtMDcxMS00YjJkLWE5MTEtNzljZTEyZDJjYmIyXkEyXkFqcGdeQXVyMjQzMzQzODY@._V1_SX300.jpg,N/A,5.8,283,tt0089164,movie,N/A,N/A,N/A,N/A,True,5.8/10,N/A,N/A,,,
14,Mask,N/A,Peter Bogdanovich,United States,0,cannes,1985,https://en.wikipedia.org/wiki/Mask_(1985_film),https://en.wikipedia.org/wiki/Peter_Bogdanovich,Mask,1985,PG-13,22 Mar 1985,120 min,"Biography, Drama",Peter Bogdanovich,Anna Hamilton Phelan,"Cher, Sam Elliott, Eric Stoltz, Estelle Getty","Rusty Dennis is the mother of Rocky, a seriously deformed but extremely intelligent and emotionally warm teenager. Rusty is a no-nonsense mother whose wild lifestyle is often at odds with her tenderness and protectiveness towards Rocky. She is determined that Rocky be given the same chances and happiness that everyone else takes for granted.",English,USA,Won 1 Oscar. Another 2 wins & 7 nominations.,https://m.media-amazon.com/images/M/MV5BYTVlYjExOWEtZmU5Yy00N2VjLWJmY2UtZjZiYzMzYzhhYjNiXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,73,7.2,"24,655",tt0089560,movie,10 Oct 2000,N/A,MCA Universal Home Video,N/A,True,7.2/10,93%,73/100,,,
15,Mishima: A Life in Four Chapters,N/A,Paul Schrader,United States,0,cannes,1985,https://en.wikipedia.org/wiki/Mishima:_A_Life_in_Four_Chapters,https://en.wikipedia.org/wiki/Paul_Schrader,Mishima: A Life in Four Chapters,1985,R,20 Sep 1985,120 min,"Biography, Drama",Paul Schrader,"Paul Schrader, Leonard Schrader","Ken Ogata, Masayuki Shionoya, Hiroshi Mikami, Junya Fukuda","A fictionalized account in four segments of the life of Japan's celebrated twentieth-century author Yukio Mishima. Three of the segments parallel events in Mishima's life with his novels (The Temple of the Golden Pavilion (Kinkaku-ji), Kyoko's House, and Runaway Horses), while the fourth depicts 25 November 1970, ""The Last Day""...","Japanese, English","USA, Japan",1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNDM2NWU1NWEtYzBmNC00MDA4LWI2YzQtZTQ1Y2E3NjZhMDJjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,81,7.9,"7,681",tt0089603,movie,07 Aug 2001,N/A,Criterion Collection,N/A,True,7.9/10,89%,81/100,,,
16,Pale Rider,N/A,Clint Eastwood,United States,0,cannes,1985,https://en.wikipedia.org/wiki/Pale_Rider,https://en.wikipedia.org/wiki/Clint_Eastwood,Pale Rider,1985,R,28 Jun 1985,115 min,"Drama, Western",Clint Eastwood,"Michael Butler, Dennis Shryack","Clint Eastwood, Michael Moriarty, Carrie Snodgress, Chris Penn",A gold mining camp in the California foothills is besieged by a neighboring landowner intent on stealing their claims. A preacher rides into camp and uses all of his powers of persuasion to convince the landowner to give up his attacks on the miners.,English,USA,2 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BOGZjOWM3MWYtNTc5Yy00NGQ0LWFkMDQtOWUwYzhkNTZmNGI2XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,61,7.3,"49,655",tt0089767,movie,18 Nov 1997,N/A,Warner Bros. Pictures,N/A,True,7.3/10,92%,61/100,,,
17,Rendez-vous,N/A,André Téchiné,France,0,cannes,1985,https://en.wikipedia.org/wiki/Rendez-vous_(film),https://en.wikipedia.org/wiki/Andr%C3%A9_T%C3%A9chin%C3%A9,Rendez-vous,1985,N/A,15 May 1985,82 min,"Drama, Romance",André Téchiné,"André Téchiné, Olivier Assayas","Lambert Wilson, Juliette Binoche, Wadeck Stanczak, Jean-Louis Trintignant","A woman and three men. Nina, who's come to Paris to act and sleeps with any man at hand, meets Paulot, a young estate agent; he's smitten. She also meets Paulot's flatmate Quentin, a compulsive who stalks her. To Paulot's jealous dismay, she's willing to sleep with Quentin, and wants Paulot's friendship. After a desperate act by Quentin, Nina and Paulot share a flat, but she still won't take him as a lover; instead, her energy goes into a production of ""Romeo and Juliet"" directed by a detached, intense man who becomes her father figure. Quentin's ghost taunts her, Paulot wants to end all contact, and the director plans to return to London. The art of the theater may be her only refuge.","French, English",France,2 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BNmFiNWQ1NmEtY2I5NS00MjRiLTliM2MtMGJmNWNiZGNiNGEzXkEyXkFqcGdeQXVyMjQzMzQzODY@._V1_SX300.jpg,N/A,6.6,"2,269",tt0089902,movie,15 Feb 2005,N/A,Home Vision Entertainment,N/A,True,6.6/10,N/A,N/A,,,
18,The Two Lives of Mattia Pascal,Le due vite di Mattia Pascal,Mario Monicelli,Italy,0,cannes,1985,https://en.wikipedia.org/wiki/The_Two_Lives_of_Mattia_Pascal,https://en.wikipedia.org/wiki/Mario_Monicelli,Le due vite di Mattia Pascal,1985,N/A,30 Aug 1985,125 min,Comedy,Mario Monicelli,"Suso Cecchi D'Amico (screenplay), Ennio De Concini (screenplay), Mario Monicelli (screenplay), Luigi Pirandello (novel), Amanzio Todini (screenplay)","Marcello Mastroianni, Senta Berger, Flavio Bucci, Laura Morante","Unlike in the previous 3 adaptations of the book,here Mattia narrates in flashback,back at his library job in his village,how he changed his name when mistakenly thought dead and tried to start a new life in Rome.",Italian,"Italy, France, West Germany, Spain, UK",1 nomination.,https://m.media-amazon.com/images/M/MV5BNTRjZTQyYmQtMWVkYy00MGZmLWI5MTAtMTgzZmJiMTgxOTNhXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg,N/A,6.9,178,tt0089057,movie,N/A,N/A,N/A,N/A,True,6.9/10,N/A,N/A,,,
19,When Father Was Away on Business,Отац на службеном путу,Emir Kusturica,Yugoslavia,1,cannes,1985,https://en.wikipedia.org/wiki/When_Father_Was_Away_on_Business,https://en.wikipedia.org/wiki/Emir_Kusturica,When Father Was Away on Business,1985,R,11 Oct 1985,136 min,Drama,Emir Kusturica,Abdulah Sidran,"Moreno D'E Bartolli, Predrag 'Miki' Manojlovic, Mirjana Karanovic, Mustafa Nadarevic","Tito's break-up with Stalin in 1948 marked the beginning of not only confusing, but also very dangerous years for many hard-core Yugoslav communists. A careless remark about the newspaper cartoon is enough for Mesha to join many arrested unfortunates. His family is now forced to cope with the situation and wait for his release from prison. The story is told from the perspective of Malik, his young son who believes the mother's story about father being ""away on business"".","Serbo-Croatian, Hungarian",Yugoslavia,Nominated for 1 Oscar. Another 6 wins & 2 nominations.,https://ia.media-imdb.com/images/M/MV5BMTU5Nzk3NDEzMl5BMl5BanBnXkFtZTcwMTQzMDgyMQ@@._V1_SX300.jpg,N/A,7.9,"7,530",tt0089748,movie,26 Apr 2005,N/A,N/A,N/A,True,7.9/10,100%,N/A,,,
20,The Assassin of the Tsar,Tsareubiytsa,Karen Shakhnazarov,Soviet Union,0,cannes,1991,https://en.wikipedia.org/wiki/The_Assassin_of_the_Tsar,https://en.wikipedia.org/wiki/Karen_Shakhnazarov,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Movie not found!,,
21,Anna Karamazoff,N/A,Rustam Khamdamov,Soviet Union,0,cannes,1991,https://en.wikipedia.org/wiki/Anna_Karamazoff,https://en.wikipedia.org/wiki/Rustam_Khamdamov,Anna Karamazoff,1991,N/A,01 May 1991,125 min,Drama,Rustam Khamdamov,Rustam Khamdamov,"Jeanne Moreau, Elena Solovey, Natalya Leble, Victor Sibilyov",N/A,Russian,"Soviet Union, France",1 nomination.,https://m.media-amazon.com/images/M/MV5BY2YzNjk5ZjYtOTlmNS00N2EyLWIwYzQtODcwYzAzNjIyODRiXkEyXkFqcGdeQXVyMTI4MjY2MQ@@._V1_SX300.jpg,N/A,7.3,87,tt0220309,movie,N/A,N/A,N/A,N/A,True,7.3/10,N/A,N/A,,,
22,Barton Fink,N/A,Joel Coen and Ethan Coen,United States,1,cannes,1991,https://en.wikipedia.org/wiki/Barton_Fink,https://en.wikipedia.org/wiki/Coen_brothers,Barton Fink,1991,R,21 Aug 1991,116 min,"Comedy, Drama, Thriller","Joel Coen, Ethan Coen","Joel Coen, Ethan Coen","John Turturro, John Goodman, Judy Davis, Michael Lerner","In 1941, New York intellectual playwright Barton Fink comes to Hollywood to write a Wallace Beery wrestling picture. Staying in the eerie Hotel Earle, Barton develops severe writer's block. His neighbor, jovial insurance salesman Charlie Meadows, tries to help, but Barton continues to struggle as a bizarre sequence of events distracts him even further from his task.",English,"USA, UK",Nominated for 3 Oscars. Another 17 wins & 27 nominations.,https://m.media-amazon.com/images/M/MV5BMTgxMDMxMTctNDY0Zi00ZmNlLWFlYmQtODA2YjY4MDk4MjU1XkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg,69,7.7,"107,521",tt0101410,movie,20 May 2003,N/A,20th Century Fox,N/A,True,7.7/10,90%,69/100,,,
23,La Belle Noiseuse,N/A,Jacques Rivette,France / Switzerland,0,cannes,1991,https://en.wikipedia.org/wiki/La_Belle_Noiseuse,https://en.wikipedia.org/wiki/Jacques_Rivette,La Belle Noiseuse,1991,Unrated,04 Sep 1991,238 min,Drama,Jacques Rivette,"Pascal Bonitzer (scenario), Christine Laurent (scenario), Jacques Rivette (scenario), Honoré de Balzac (inspired by novella ""Le chef-d'oeuvre inconnu""), Pascal Bonitzer (dialogue), Christine Laurent (dialogue)","Michel Piccoli, Jane Birkin, Emmanuelle Béart, Marianne Denicourt","The former famous painter Frenhofer lives quietly with his wife in his countryside residence in the French Provence. When the young artist Nicolas visits him with his girlfriend Marianne, Frenhofer decides to start working again on a painting called 'La Belle Noiseuse', which he gave up a long time ago. And he wants Marianne as a model. The ensuing creative process will change the characters' lives. It will become a struggle for truth and meaning, and the question about the limits of art will arise.","French, English","France, Switzerland",5 wins & 7 nominations.,https://m.media-amazon.com/images/M/MV5BYzFiMWMyZWMtMjlhYS00NmQ3LTgzM2EtN2MxYTdmNzJkOTBiXkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_SX300.jpg,N/A,7.6,"6,260",tt0101428,movie,08 May 2018,N/A,Cohen Media Group,N/A,True,7.6/10,100%,N/A,,,
24,Bix,N/A,Pupi Avati,Italy,0,cannes,1991,https://en.wikipedia.org/wiki/Bix_(film),https://en.wikipedia.org/wiki/Pupi_Avati,Bix,1991,N/A,09 May 1991,100 min,"Biography, Drama, Music",Pupi Avati,"Antonio Avati, Pupi Avati, Fred Chalfy (dialogue), Anne Dutter (French adaptation: post-synchronized version), Georges Dutter (French adaptation: post-synchronized version), Lino Pastruno, Mark Wolfson (dialogue)","Bryant Weeks, Emile Levisetti, Julia Ewing, Mark Collver",N/A,English,"Italy, USA",2 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BNjlmMjAxNmUtN2NkYi00MzFiLWI4NzAtOGQ3MWE1NTdkYzk1XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg,N/A,6.2,105,tt0101460,movie,N/A,N/A,N/A,N/A,True,6.2/10,N/A,N/A,,,
25,Cold Moon,Lune froide,Patrick Bouchitey,France,0,cannes,1991,https://en.wikipedia.org/wiki/Cold_Moon,https://en.wikipedia.org/wiki/Patrick_Bouchitey,Lune froide,1991,N/A,22 May 1991,92 min,Drama,Patrick Bouchitey,"Jackie Berroyer (dialogue), Jackie Berroyer (scenario), Patrick Bouchitey (dialogue), Patrick Bouchitey (scenario), Charles Bukowski (novels)","Jean-François Stévenin, Patrick Bouchitey, Jean-Pierre Bisson, Consuelo De Haviland","Simon and Dede are best friends: two aimless drunks who spend their days getting sloshed and any other available time getting laid. Simon is living on unemployment benefits in a trailer parked near his sister's apartment. Dede works at a fish-packing plant on the night shift. Neither man is sensitive, young, or good looking. However, their sang-froid (literally, ""cold blood,"" referring to a quality of imperturbability) stands them in good stead as they go about their seedy lives, picking up one woman and having sex with her on the beach, or when Simon calmly has sex with a prostitute in front of the woman's brother. In the past, a bizarre necrophiliac situation led to Simon experiencing his only sense of what it might be to truly love someone.",French,France,2 nominations.,https://m.media-amazon.com/images/M/MV5BMjAwNTIzODk1OV5BMl5BanBnXkFtZTcwMjgwMTA5Mg@@._V1_SX300.jpg,N/A,6.9,371,tt0102358,movie,N/A,N/A,N/A,N/A,True,6.9/10,N/A,N/A,,,
26,The Double Life of Véronique,La double vie de Véronique,Krzysztof Kieślowski,Poland / France / Norway,0,cannes,1991,https://en.wikipedia.org/wiki/The_Double_Life_of_V%C3%A9ronique,https://en.wikipedia.org/wiki/Krzysztof_Kie%C5%9Blowski,The Double Life of Véronique,1991,R,22 Nov 1991,98 min,"Drama, Fantasy, Music, Mystery, Romance",Krzysztof Kieslowski,"Krzysztof Kieslowski, Krzysztof Piesiewicz","Irène Jacob, Halina Gryglaszewska, Kalina Jedrusik, Aleksander Bardini","Weronika lives in Poland. Véronique lives in Paris. They don't know each other. Weronika gets a place in a music school, works hard, but collapses and dies on her first performance. At this point, Véronique's life seems to take a turn and she decides not to be a singer...","French, Polish, Italian","France, Poland, Norway",Nominated for 1 Golden Globe. Another 10 wins & 9 nominations.,https://m.media-amazon.com/images/M/MV5BYmE0ZGRiMDgtOTU0ZS00YWUwLTk5YWQtMzhiZGVhNzViMGZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,86,7.8,"38,328",tt0101765,movie,21 Nov 2006,N/A,Criterion Collection,N/A,True,7.8/10,82%,86/100,,,
